키워드,언론사,기사명,날짜,URL
SBS Biz,"[서학개미 뭐샀나] “위기는 기회다”…서학개미, 기술주·홍콩주식 러브콜",2021-10-07,https://biz.sbs.co.kr/article_hub/20000033410?division=NAVER,코로나 주식
조선일보,"상승동력 잃은 코스피, 코로나 이후 분기 기준으로 첫 하락",2021-10-04,https://www.chosun.com/economy/stock-finance/2021/10/03/3WFZASLTTREZPPTNCI5UUOU4TU/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,코로나 주식
서울경제,알약 코로나 치료제 나오나···뉴욕 증시가 들썩였다,2021-10-02,https://www.sedaily.com/NewsView/22SL1ZG7CN,코로나 주식
핀포인트뉴스,"신풍제약, 주가 '맑음'…김 총리 ""국내 코로나 치료제 상황 검토""",17분 전,http://www.pinpointnews.co.kr/view.php?ud=202110070924069018cd1e7f0bdf_45,코로나 주식
매일일보,[데스크칼럼] 코로나 청구서,2021-10-06,http://www.m-i.kr/news/articleView.html?idxno=864893,코로나 주식
세계비즈,"주식회사 지투지, 화성시에 저자극 살균제 후원물품 전달",2021-10-06,http://www.segyebiz.com/newsView/20211006512673?OutUrl=naver,코로나 주식
머니,"TDF, 은퇴 시점서 주식 비중 줄이는 이유는",2021-10-06,https://magazine.hankyung.com/money/article/202109144129c,코로나 주식
비즈니스포스트,"기아 주식 매수의견 유지, ""우호적 환율효과로 생산차질 영향 방어""",2021-10-06,https://www.businesspost.co.kr/BP?command=article_view&num=253091,코로나 주식
메디게이트뉴스,"남양유업 코로나19 악용, 식약처 '대기업 봐주기' 수수방관 의혹 제기",2021-10-06,http://www.medigatenews.com/news/3274237667,코로나 주식
매일경제,"""잠을 못 잤다"" 주식전문가 '스트릿우먼파이터' 보고 화들짝 놀란 이유",2021-10-02,https://premium.mk.co.kr/view.php?no=30875,코로나 주식
파이낸셜뉴스,머크 코로나19 치료제로 뉴욕증시 일제히 상승,2021-10-02,http://www.fnnews.com/news/202110020607136628,코로나 주식
한국경제,'오징어 게임' 최후의 승자가 받는 '상금 456억' 될 주식 찾는다면…,2021-10-03,https://www.hankyung.com/international/article/202110019891i,코로나 주식
초이스경제,"""신세계, '위드 코로나'로 소비 회복될 듯""...대신증권",2021-10-06,http://www.choicenews.co.kr/news/articleView.html?idxno=85338,코로나 주식
뉴스핌,"인플레헤지 수익내려면... 요지 부동산과 황금, 반도체 주식 사라",2021-10-06,http://www.newspim.com/news/view/20211005001153,코로나 주식
아시아경제,美 매파 Fed 인사 두 명 낙마‥부적절한 주식 거래 연루 '후폭풍',2021.09.28.,https://view.asiae.co.kr/article/2021092805221350196,코로나 주식
더벨,"[더벨]""E보다 S·G 무게...선진국 주식 중심 포트폴리오 추천""",2021-10-06,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202110011053035120108151,코로나 주식
머니,"[big story]부자 꿈꾸는 MZ세대, 장외주식에 꽂힌 이유는",2021-09-30,https://magazine.hankyung.com/money/article/202109281656c,코로나 주식
EBN,코로나 백신접종 4000만명 초읽기…수혜주는,2021-10-06,https://www.ebn.co.kr/news/view/1502770/?sc=Naver,코로나 주식
뉴시스,"""'코로나 여파' 전기료 고액체납자 633명…요금 112억 달해""",2021-10-03,http://www.newsis.com/view/?id=NISX20211001_0001600956&cID=10401&pID=10400,코로나 주식
데일리팜,주식시장 와르르...제약바이오주 하루새 시총 18조 증발,2021-10-06,http://www.dailypharm.com/Users/News/NewsView.html?ID=280847&REFERER=NP,코로나 주식
한국경제,"'패닉' 중국주식, 중학개미들은 어찌하오리까",2021-09-30,https://www.hankyung.com/finance/article/2021093054526,코로나 주식
LG헬로비전,코로나 휴업 서산 베니키아호텔 새 주인 맞아,2021-10-06,http://news.lghellovision.net/news/newsView.do?soCode=SC91000000&idx=320340,코로나 주식
뉴스핌,"[주식고수] ""주식은 사냥 아닌 농사""...'주식농부' 박영옥의 투자관",2021-10-05,http://www.newspim.com/news/view/20211001000988,코로나 주식
MTN,"[여의도 주식왕 강철주식] AI vs AI 시스템 대결, 새 시즌 개막!",2021-10-05,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021100505052115897,코로나 주식
SBS Biz,"주식 반대매매 일평균 85억, 연중 최대…금감원 ‘빚투폭탄’ 경고",2021.09.27.,https://biz.sbs.co.kr/article_hub/20000032214?division=NAVER,코로나 주식
아주경제,[중국 마이종목] 美 코로나 먹는 치료제 발표에 푸싱의약 주가 급락,2021-10-06,http://www.ajunews.com/view/20211005084152411,코로나 주식
한국경제,"모건스탠리, 잇단 '빅딜'로 1위 지켜…KB證, 주식·채권발행 '2관왕'",A26면 1단,https://www.hankyung.com/finance/article/2021093075961,코로나 주식
매경이코노미,놓치지 말고 살펴봐야 할 주식은? 위드 코로나 시대 투자 전략,2021-10-01,http://news.mk.co.kr/v2/economy/view.php?year=2021&no=929545,코로나 주식
서울경제,"[주식초고수는 지금] 3,000선 무너진 코스피, 한국비엔씨 '저가매수'···2차...",2021-10-06,https://www.sedaily.com/NewsView/22SMFKBNBK,코로나 주식
금강일보,[주식] 현대바이오 주가 급락,2021-10-02,http://www.ggilbo.com/news/articleView.html?idxno=871476,코로나 주식
부산일보,[금융 돋보기] 4분기 주식투자 전략,11면 1단,http://www.busan.com/view/busan/view.php?code=2021100318495973742,코로나 주식
이데일리,[현장에서]동학개미들이 `주식 양도세` 반대하는 이유,2021-10-01,http://www.edaily.co.kr/news/newspath.asp?newsid=03266886629185368,코로나 주식
e대한경제,코로나19 경구용 치료제 개발..증시 ‘게임 체인저’되나,2021-10-05,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202110041210064200438,코로나 주식
한국경제,"다가오는 위드 코로나…""급반등 기대되는 OO주 담아라""",2021.09.29.,https://www.hankyung.com/finance/article/2021092924616,코로나 주식
한국일보,"부광약품, 코로나19 치료제 레보비르 효과 미입증…사실상 개발 포기",2021-10-01,https://hankookilbo.com/News/Read/A2021093014160005195?did=NA,코로나 주식
문화일보,주식·주택 ‘청년 빚투’ 무섭게 늘어… 가계부채의 26.9% 차지,3면 TOP,http://www.munhwa.com/news/view.html?no=2021092401070303006001,코로나 주식
파이낸셜뉴스,코로나19로 7월 여행사 생산지수 추락…인터넷쇼핑 최대 호황,2021.09.27.,http://www.fnnews.com/news/202109270907284571,코로나 주식
노컷뉴스,"서초구, 전국 최초 '서초여성일자리주식회사' 1일 출범",2021-09-30,https://www.nocutnews.co.kr/news/5631223,코로나 주식
경향신문,전셋값 폭등·주식 열풍에…‘청년 빚’ 크게 늘었다,A1면 1단,https://www.khan.co.kr/economy/economy-general/article/202109242211002,코로나 주식
비즈니스포스트,"하이트진로 주식 매수의견 유지, “거리두기 주류업황도 대폭 회복”",2021-10-05,https://www.businesspost.co.kr/BP?command=article_view&num=252866,코로나 주식
조선비즈,[누이떠] 5000원으로 ‘종로 한복판’ SK서린빌딩 주인된다… 주식 대안으로 ...,2021.09.27.,https://biz.chosun.com/stock/stock_general/2021/09/27/AYQHBKIHMZDQNF5VE7IRJFXOOE/?utm_source=naver&utm_medium=original&utm_campaign=biz,코로나 주식
중앙일보,'상한가 종목'에 혹한 4050…주식리딩방 피해금 벌써 170억,2021.09.23.,https://www.joongang.co.kr/article/25008996,코로나 주식
뉴스저널리즘,韓 주식시장 먹구름…코스피 6개월 만에 3000선 붕괴?,2021-10-06,https://www.ngetnews.com/news/articleView.html?idxno=403493,코로나 주식
한국경제TV,발표 하루 전 주식펀드로 갈아탄 연준 '넘버2',2021-10-04,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202110030056&t=NN,코로나 주식
매일경제,주식 '빚투' 반대매매 한달새 2배 급증…연중 최고치 갱신,2021.09.27.,http://news.mk.co.kr/newsRead.php?no=919717&year=2021,코로나 주식
뉴시스,"국민 2명 중 1명 ""코로나 이후 '읽기 시간' 증가""",2021.09.27.,http://www.newsis.com/view/?id=NISX20210927_0001593683&cID=10701&pID=10700,코로나 주식
조선일보,[Mint] NFL을 아마존에서 본다고? 코로나가 흔든 스포츠 산업,C1면 1단,https://www.chosun.com/economy/mint/2021/10/01/UTZFXX554RCIXIOXPZKD6ELRRM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,코로나 주식
뉴스핌,"[GAM] ""열 살부터 주식에 빠졌어요"" 유럽 밀레니얼의 성공 철칙",2021-10-05,http://www.newspim.com/news/view/20211002000152,코로나 주식
이데일리,‘영끌’ 부동산·주식 투자 막는다…홍남기 “최대한 억제”(종합),2021-10-01,http://www.edaily.co.kr/news/newspath.asp?newsid=02253366629185368,코로나 주식
데일리팜,주식시장 와르르...제약바이오주 하루새 시총 18조 증발,2021-10-06,http://www.dailypharm.com/Users/News/NewsView.html?ID=280847&REFERER=NP,코로나 주식
한국경제,"'패닉' 중국주식, 중학개미들은 어찌하오리까",2021-09-30,https://www.hankyung.com/finance/article/2021093054526,코로나 주식
LG헬로비전,코로나 휴업 서산 베니키아호텔 새 주인 맞아,2021-10-06,http://news.lghellovision.net/news/newsView.do?soCode=SC91000000&idx=320340,코로나 주식
뉴스핌,"[주식고수] ""주식은 사냥 아닌 농사""...'주식농부' 박영옥의 투자관",2021-10-05,http://www.newspim.com/news/view/20211001000988,코로나 주식
MTN,"[여의도 주식왕 강철주식] AI vs AI 시스템 대결, 새 시즌 개막!",2021-10-05,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021100505052115897,코로나 주식
동양일보,코로나로 문 닫은 서산 베니키아호텔 새 주인 맞아,2021-10-05,http://www.dynews.co.kr/news/articleView.html?idxno=642699,코로나 주식
SBS Biz,"주식 반대매매 일평균 85억, 연중 최대…금감원 ‘빚투폭탄’ 경고",2021.09.27.,https://biz.sbs.co.kr/article_hub/20000032214?division=NAVER,코로나 주식
아주경제,[중국 마이종목] 美 코로나 먹는 치료제 발표에 푸싱의약 주가 급락,2021-10-06,http://www.ajunews.com/view/20211005084152411,코로나 주식
한국경제,"모건스탠리, 잇단 '빅딜'로 1위 지켜…KB證, 주식·채권발행 '2관왕'",A26면 1단,https://www.hankyung.com/finance/article/2021093075961,코로나 주식
매경이코노미,놓치지 말고 살펴봐야 할 주식은? 위드 코로나 시대 투자 전략,2021-10-01,http://news.mk.co.kr/v2/economy/view.php?year=2021&no=929545,코로나 주식
서울경제,"[주식초고수는 지금] 3,000선 무너진 코스피, 한국비엔씨 '저가매수'···2차...",2021-10-06,https://www.sedaily.com/NewsView/22SMFKBNBK,코로나 주식
금강일보,[주식] 현대바이오 주가 급락,2021-10-02,http://www.ggilbo.com/news/articleView.html?idxno=871476,코로나 주식
부산일보,[금융 돋보기] 4분기 주식투자 전략,11면 1단,http://www.busan.com/view/busan/view.php?code=2021100318495973742,코로나 주식
KBS,"8월 주식반대매매 급증…금감원, 소비자경보 발령",2021.09.27.,https://news.kbs.co.kr/news/view.do?ncd=5287610&ref=A,코로나 주식
이데일리,[현장에서]동학개미들이 `주식 양도세` 반대하는 이유,2021-10-01,http://www.edaily.co.kr/news/newspath.asp?newsid=03266886629185368,코로나 주식
e대한경제,코로나19 경구용 치료제 개발..증시 ‘게임 체인저’되나,2021-10-05,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202110041210064200438,코로나 주식
한국경제,"다가오는 위드 코로나…""급반등 기대되는 OO주 담아라""",2021.09.29.,https://www.hankyung.com/finance/article/2021092924616,코로나 주식
한국일보,"부광약품, 코로나19 치료제 레보비르 효과 미입증…사실상 개발 포기",2021-10-01,https://hankookilbo.com/News/Read/A2021093014160005195?did=NA,코로나 주식
뉴스1,"스팸, 코로나로 힘든 사람들 노렸다…불법대출 전화 스팸 53.1% 달해",2021-09-30,https://www.news1.kr/articles/?4447324,코로나 주식
문화일보,주식·주택 ‘청년 빚투’ 무섭게 늘어… 가계부채의 26.9% 차지,3면 TOP,http://www.munhwa.com/news/view.html?no=2021092401070303006001,코로나 주식
문화일보,주식·주택 ‘청년 빚투’ 무섭게 늘어… 가계부채의 26.9% 차지,3면 TOP,http://www.munhwa.com/news/view.html?no=2021092401070303006001,코로나 주식
파이낸셜뉴스,코로나19로 7월 여행사 생산지수 추락…인터넷쇼핑 최대 호황,2021.09.27.,http://www.fnnews.com/news/202109270907284571,코로나 주식
서울경제,코로나 장기화 악용 '테마주·불법대출' 스팸 기승,16면 4단,https://www.sedaily.com/NewsView/22RNJROM6Z,코로나 주식
노컷뉴스,"서초구, 전국 최초 '서초여성일자리주식회사' 1일 출범",2021-09-30,https://www.nocutnews.co.kr/news/5631223,코로나 주식
경향신문,전셋값 폭등·주식 열풍에…‘청년 빚’ 크게 늘었다,A1면 1단,https://www.khan.co.kr/economy/economy-general/article/202109242211002,코로나 주식
전국매일신문,"부광약품, 코로나19 치료제 개발 중단에 27% 급락",2021-10-01,http://www.jeonmae.co.kr/news/articleView.html?idxno=856500,코로나 주식
비즈니스포스트,"하이트진로 주식 매수의견 유지, “거리두기 주류업황도 대폭 회복”",2021-10-05,https://www.businesspost.co.kr/BP?command=article_view&num=252866,코로나 주식
조선비즈,[누이떠] 5000원으로 ‘종로 한복판’ SK서린빌딩 주인된다… 주식 대안으로 ...,2021.09.27.,https://biz.chosun.com/stock/stock_general/2021/09/27/AYQHBKIHMZDQNF5VE7IRJFXOOE/?utm_source=naver&utm_medium=original&utm_campaign=biz,코로나 주식
중앙일보,'상한가 종목'에 혹한 4050…주식리딩방 피해금 벌써 170억,2021.09.23.,https://www.joongang.co.kr/article/25008996,코로나 주식
뉴스저널리즘,韓 주식시장 먹구름…코스피 6개월 만에 3000선 붕괴?,2021-10-06,https://www.ngetnews.com/news/articleView.html?idxno=403493,코로나 주식
한국경제TV,발표 하루 전 주식펀드로 갈아탄 연준 '넘버2',2021-10-04,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202110030056&t=NN,코로나 주식
매일경제,주식 '빚투' 반대매매 한달새 2배 급증…연중 최고치 갱신,2021.09.27.,http://news.mk.co.kr/newsRead.php?no=919717&year=2021,코로나 주식
이데일리,개미 울리는 주식리딩방…피해구제 신청 5년새 8배 폭증,2021.09.23.,http://www.edaily.co.kr/news/newspath.asp?newsid=01515366629183072,코로나 주식
뉴시스,"국민 2명 중 1명 ""코로나 이후 '읽기 시간' 증가""",2021.09.27.,http://www.newsis.com/view/?id=NISX20210927_0001593683&cID=10701&pID=10700,코로나 주식
조선일보,[Mint] NFL을 아마존에서 본다고? 코로나가 흔든 스포츠 산업,C1면 1단,https://www.chosun.com/economy/mint/2021/10/01/UTZFXX554RCIXIOXPZKD6ELRRM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,코로나 주식
뉴스핌,"[GAM] ""열 살부터 주식에 빠졌어요"" 유럽 밀레니얼의 성공 철칙",2021-10-05,http://www.newspim.com/news/view/20211002000152,코로나 주식
이데일리,‘영끌’ 부동산·주식 투자 막는다…홍남기 “최대한 억제”(종합),2021-10-01,http://www.edaily.co.kr/news/newspath.asp?newsid=02253366629185368,코로나 주식
이데일리,[주목!e해외주식]스트리밍에 '라이브'도 되는 워너뮤직,2021-10-03,http://www.edaily.co.kr/news/newspath.asp?newsid=01469446629208984,코로나 주식
아이뉴스24,"휴대전화 스팸 14.5%↑…""'코로나 특별 대출'에 속지 마세요""",2021-09-30,http://www.inews24.com/view/1407728,코로나 주식
이데일리,2023년 도입 예정 `주식 양도세`…동학개미 표심 영향 줄까,2021.09.28.,http://www.edaily.co.kr/news/newspath.asp?newsid=02935606629184712,코로나 주식
이데일리,2023년 도입 예정 `주식 양도세`…동학개미 표심 영향 줄까,2021.09.28.,http://www.edaily.co.kr/news/newspath.asp?newsid=02935606629184712,코로나 주식
매경이코노미,주식형 펀드 부활?…‘ESG·모빌리티’ 테마형 펀드에 돈 몰린다,2021-10-02,http://news.mk.co.kr/v2/economy/view.php?year=2021&no=935902,코로나 주식
YTN라디오,"[생생경제] 코로나 시대가 가져온 업무 환경의 변화, 비대면 협업툴이란(김대...",2021-10-06,https://radio.ytn.co.kr/program/?f=2&id=79021&s_mcd=0206&s_hcd=15,코로나 주식
파이낸셜뉴스,"‘6% 급락’ 나이키, 목표가도 줄하향 [해외주식 인싸이트]",14면 1단,http://www.fnnews.com/news/202109271808539357,코로나 주식
이투데이,"[특징주] 비씨월드제약, 나파벨탄 국내 최초 코로나19 치료제 글로벌 임상3상...",2021-10-02,https://www.etoday.co.kr/news/view/2066001,코로나 주식
이투데이,"머크의 먹는 코로나19 치료제, 팬데믹 게임체인저 될까",2021-10-03,https://www.etoday.co.kr/news/view/2066226,코로나 주식
비즈니스포스트,"SK바이오사이언스 주가 싱승 전망, “코로나19 백신 후보 가치 커져”",2021-10-01,https://www.businesspost.co.kr/BP?command=article_view&num=252529,코로나 주식
데일리한국,[특징주] 현대바이오 ‘먹는 코로나 치료제’ 임상신청에도 11% 하락,2021-10-02,https://daily.hankooki.com/lpage/finance/202110/dh20211001112603148350.htm?s_ref=nv,코로나 주식
더퍼블릭,먹는 코로나 치료제 출시 임박에… 백신업계는 ‘긴장’,2021-10-06,http://thepublic.kr/news/newsview.php?ncode=1065595268707952,코로나 주식
이데일리,"최종윤 ""코로나로 노인일자리 채용목표 인원 미달 기업 40%""",2021-10-01,http://www.edaily.co.kr/news/newspath.asp?newsid=01476006629208656,코로나 주식
국제뉴스,"서초구, 전국 최초 '서초여성일자리주식회사' 출범",2021.09.29.,http://www.gukjenews.com/news/articleView.html?idxno=2317662,코로나 주식
한국경제,1등 펀드매니저가 '10월 사야할 주식' 정리해줍니다 [허란의 경제한끼],2021-10-01,https://www.hankyung.com/finance/article/202110018466i,코로나 주식
이데일리,"[주목!e해외주식]나이키, 공급차질 이슈는 단기적 문제",2021-10-04,http://www.edaily.co.kr/news/newspath.asp?newsid=01207046629209312,코로나 주식
부산일보,주식매각으로 집 산 MZ세대 증가…62억원 주택 매입도,2021.09.18.,http://www.busan.com/view/busan/view.php?code=2021091815445289673,코로나 주식
조선비즈,‘돈줄 조이기’ 준비하는 美… 주식 전문가들 “이제 보수적으로 대응할 때”,2021.09.23.,https://biz.chosun.com/international/international_economy/2021/09/23/PYRJYHOAUJF5ZBWXVCZARWTDEM/?utm_source=naver&utm_medium=original&utm_campaign=biz,코로나 주식
뉴스토마토,"(토마토TV와 함께하는 주식투자)기아, 모빌리티 기업으로 진화",2021-10-05,http://www.newstomato.com/ReadNews.aspx?no=1077204&inflow=N,코로나 주식
이코노미스트,"기관투자자, 3조5000억원 팔아도 ‘위드 코로나株’는 담았다",2021.09.27.,https://economist.co.kr/2021/09/27/stock/stockNormal/20210927140758342.html,코로나 주식
MTN,"국민연금, 7월 말 수익률 8.55%…해외주식 21.06%",2021-09-30,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021092915343136367,코로나 주식
YTN,"코로나 시대, 전자책·웹소설·종이책 독서 시간 증가",2021.09.27.,https://www.ytn.co.kr/_ln/0103_202109271432013793,코로나 주식
이데일리,"""위드 코로나 주가 영향력, 소매·서비스 일부 업종 국한""",2021.09.27.,http://www.edaily.co.kr/news/newspath.asp?newsid=01361206629184384,코로나 주식
이데일리,"""위드 코로나 주가 영향력, 소매·서비스 일부 업종 국한""",2021.09.27.,http://www.edaily.co.kr/news/newspath.asp?newsid=01361206629184384,코로나 주식
